# reference-gates.tsv — L1 cross-version parity audit (epic rust-oracledb-xver-parity-so3w, bead .1)
#
# Every version/capability gate in reference/python-oracledb thin, mapped to our port.
# Columns 1-3 (reference_file, line, capability_or_constant) are the STABLE gate identity;
# `scripts/extract_reference_gates.sh --check` re-derives them from the live reference and
# fails (exit 3) if a gate appears/vanishes/changes — i.e. after a reference bump, so a NEW
# gate cannot ship unmapped. Columns 4+ are the hand-maintained mapping/coverage.
#
# verdict codes:
#   OK-EXERCISED    mirrored, correct constant+direction, boundary crossed by the live matrix (18c/21c/23ai)
#   OK-UNEXERCISED  mirrored, correct, but the version boundary is BELOW our live floor (18c, ttc field ver 11)
#                   so no live server crosses it — a coverage hole (feed L2 cassettes / a 12.1 lane)
#   FIXED           was a missing/wrong gate; fixed this session (semver-additive) + unit regression test
#   PARITY-NEUTRAL  capability for a feature we do not implement; our conservative path writes NO
#                   version-specific bytes, so the gate cannot corrupt the wire (evidenced non-issue)
#
reference_file	line	capability_or_constant	direction	conditional_field	mirrored	our_fn	our_gate	exercised_by_test	verdict
capabilities.pyx	126	TNS_VERSION_MIN_END_OF_RESPONSE	>=	derive supports_end_of_response/pipelining from ACCEPT flags	yes	thin/connect.rs parse_accept	protocol_version >= 319	yes (live: 23ai has EOR, 18c/21c do not)	OK-EXERCISED
connection.pyx	680	supports_end_user_security_context	flag	send end-user security context piggyback	n/a	feature not implemented in core	(conservative: never sent)	no	PARITY-NEUTRAL
connection.pyx	1314	supports_pipelining	flag	expose pipelining capability property	n/a	feature not implemented	(conservative: no pipelined requests)	no	PARITY-NEUTRAL
messages/aq_array.pyx	196	TNS_CCAP_FIELD_VERSION_21_1	>=	write ub4 shard id (array enq/deq)	yes	thin/aq.rs write_array_enq/deq	ttc_field_version >= 21_1 (aq.rs:655,720)	yes (18c ver11<21_1 vs 21c ver16)	OK-EXERCISED
messages/aq_base.pyx	129	TNS_CCAP_FIELD_VERSION_21_1	>=	read/skip ub4 shard number (deq props)	yes	thin/aq.rs process_message_props	ttc_field_version >= 21_1 (aq.rs:945)	yes	OK-EXERCISED
messages/aq_base.pyx	197	TNS_CCAP_FIELD_VERSION_21_1	>=	write ub4 shard id (message props)	yes	thin/aq.rs write_message_props	ttc_field_version >= 21_1 (aq.rs:250)	yes	OK-EXERCISED
messages/aq_deq.pyx	130	TNS_CCAP_FIELD_VERSION_20_1	>=	write uint8 JSON-payload flag (deq)	yes	thin/aq.rs build_deq_payload	ttc_field_version >= 20_1 (aq.rs:528)	yes (18c<20_1 vs 21c)	OK-EXERCISED
messages/aq_deq.pyx	132	TNS_CCAP_FIELD_VERSION_21_1	>=	write ub4 shard id (-1) (deq)	yes	thin/aq.rs build_deq_payload	ttc_field_version >= 21_1 (aq.rs:531)	yes	OK-EXERCISED
messages/aq_enq.pyx	115	TNS_CCAP_FIELD_VERSION_20_1	>=	write uint8 JSON-payload pointer (enq)	yes	thin/aq.rs build_enq_payload	ttc_field_version >= 20_1 (aq.rs:375)	yes	OK-EXERCISED
messages/auth.pyx	186	TNS_CCAP_FIELD_VERSION_18_1_EXT_1	>=	AUTH_VERSION_NO tuple layout (5-part vs 4-part)	yes	oracledb/src/lib.rs get_version_tuple	ttc_field_version >= 18_1_EXT_1 (lib.rs:2753)	no (18c floor=11 already >= 11; no sub-11 lane)	OK-UNEXERCISED
